"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:43:36.700, 31.03.2016","24,6","0,0","378.011.648","174.835.952","121.151.488","112.005.144","20.117","0","166","25"
"16:43:37.715, 31.03.2016","30,0","0,6","374.865.920","122.623.000","121.151.488","112.077.288","20.117","0","166","25"
"16:43:38.731, 31.03.2016","17,2","0,0","374.865.920","151.888.872","121.151.488","112.077.288","20.117","0","166","25"
"16:43:39.747, 31.03.2016","25,3","0,0","374.865.920","194.396.312","121.151.488","112.077.288","20.117","0","166","25"
"16:43:40.762, 31.03.2016","26,9","0,6","376.438.784","141.177.400","121.151.488","112.165.560","20.117","0","166","25"
"16:43:41.778, 31.03.2016","10,9","0,0","376.438.784","167.877.000","121.151.488","112.165.560","20.117","0","166","25"
"16:43:42.778, 31.03.2016","19,1","0,9","374.341.632","116.271.240","121.151.488","112.221.104","20.117","0","166","25"
"16:43:43.794, 31.03.2016","24,6","0,0","374.341.632","159.528.432","121.151.488","112.221.104","20.118","0","166","25"
"16:43:44.809, 31.03.2016","39,8","0,0","374.341.632","188.895.440","121.151.488","112.221.104","20.118","0","165","24"
"16:43:45.825, 31.03.2016","46,4","0,6","375.914.496","131.859.752","121.151.488","112.281.728","20.151","0","168","26"
"16:43:46.829, 31.03.2016","45,0","0,0","375.914.496","177.070.096","121.151.488","112.281.728","20.152","0","168","26"
"16:43:47.829, 31.03.2016","33,2","0,0","375.914.496","202.012.104","121.151.488","112.281.728","20.153","0","168","26"
"16:43:48.845, 31.03.2016","23,1","0,4","373.817.344","150.418.976","121.544.704","112.631.504","20.153","0","168","26"
"16:43:49.860, 31.03.2016","36,3","0,0","373.817.344","194.288.328","121.544.704","112.631.504","20.153","0","168","26"
"16:43:50.860, 31.03.2016","29,2","1,1","375.914.496","123.005.048","121.544.704","112.678.696","20.153","0","168","26"
"16:43:51.876, 31.03.2016","24,2","0,0","375.914.496","165.495.240","121.544.704","112.678.696","20.153","0","168","26"
"16:43:52.891, 31.03.2016","23,4","0,0","375.914.496","205.081.896","121.544.704","112.678.696","20.154","0","168","26"
"16:43:53.893, 31.03.2016","14,0","0,5","374.865.920","136.923.536","121.806.848","112.715.304","20.154","0","168","26"
"16:43:54.893, 31.03.2016","18,7","0,0","374.865.920","180.643.128","121.806.848","112.715.304","20.162","0","168","26"
"16:43:55.908, 31.03.2016","20,2","0,4","376.963.072","119.297.096","121.806.848","112.788.816","20.164","0","168","26"
"16:43:56.924, 31.03.2016","16,4","0,0","376.963.072","143.300.504","121.806.848","112.788.816","20.164","0","168","26"
"16:43:57.940, 31.03.2016","38,6","0,0","376.963.072","188.417.296","121.806.848","112.788.816","20.164","0","168","26"
"16:43:58.955, 31.03.2016","32,8","0,5","376.438.784","124.179.720","121.806.848","112.833.240","20.164","0","168","26"
"16:43:59.971, 31.03.2016","8,4","0,0","376.438.784","154.610.864","121.806.848","112.833.240","20.164","0","168","26"
"16:44:00.986, 31.03.2016","23,4","0,0","376.438.784","200.495.800","121.806.848","112.833.240","20.164","0","168","26"
"16:44:02.002, 31.03.2016","14,0","0,5","379.584.512","131.123.640","121.806.848","112.855.048","20.164","0","168","26"
"16:44:03.018, 31.03.2016","10,5","0,0","379.584.512","161.023.336","121.806.848","112.855.048","20.164","0","168","26"
"16:44:04.033, 31.03.2016","18,3","0,0","379.584.512","206.832.000","121.806.848","112.855.048","20.165","0","168","26"
"16:44:05.049, 31.03.2016","12,8","0,7","380.633.088","134.178.992","122.068.992","112.897.736","20.165","0","168","26"
"16:44:06.065, 31.03.2016","25,3","0,0","380.633.088","168.103.576","122.068.992","112.897.736","20.165","0","168","26"
"16:44:07.080, 31.03.2016","15,2","0,0","380.633.088","211.637.512","122.068.992","112.897.736","20.165","0","168","26"
"16:44:08.080, 31.03.2016","19,9","1,0","383.778.816","127.032.968","122.068.992","112.931.080","20.165","0","168","26"
"16:44:09.096, 31.03.2016","15,4","0,0","383.778.816","169.689.472","122.068.992","112.931.080","20.166","0","168","26"
"16:44:10.112, 31.03.2016","16,0","0,0","383.778.816","214.318.936","122.068.992","112.931.080","20.166","0","168","26"
"16:44:11.127, 31.03.2016","7,8","0,6","384.827.392","130.428.992","122.068.992","112.948.056","20.166","0","168","26"
"16:44:12.143, 31.03.2016","8,9","0,0","384.827.392","171.508.280","122.068.992","112.948.056","20.166","0","168","26"
"16:44:13.159, 31.03.2016","13,2","0,0","384.827.392","214.897.648","122.068.992","112.948.056","20.166","0","168","26"
"16:44:14.158, 31.03.2016","12,8","1,4","390.594.560","127.803.392","122.068.992","112.953.936","20.166","0","168","26"
"16:44:15.174, 31.03.2016","14,4","0,0","390.594.560","173.013.088","122.068.992","112.953.936","20.166","0","168","26"
