"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:50:52.630, 31.03.2016","2,2","0,0","446.169.088","166.101.008","127.139.840","117.317.936","20.994","0","169","27"
"16:50:53.645, 31.03.2016","5,0","0,4","441.974.784","106.700.360","127.139.840","117.363.088","20.994","0","169","27"
"16:50:54.661, 31.03.2016","8,2","0,0","441.974.784","113.038.224","127.139.840","117.363.088","20.994","0","169","27"
"16:50:55.677, 31.03.2016","0,7","0,0","441.974.784","116.129.040","127.139.840","117.363.088","20.994","0","166","25"
"16:50:56.692, 31.03.2016","7,3","0,0","441.974.784","122.735.144","127.139.840","117.363.088","20.994","0","166","25"
"16:50:57.708, 31.03.2016","5,8","0,0","441.974.784","126.562.936","127.139.840","117.363.088","20.994","0","166","25"
"16:50:58.724, 31.03.2016","2,7","0,0","441.974.784","129.660.984","127.139.840","117.363.088","20.994","0","166","25"
"16:50:59.739, 31.03.2016","7,8","0,0","441.974.784","136.651.464","127.139.840","117.363.088","20.994","0","166","25"
"16:51:00.739, 31.03.2016","3,5","0,0","441.974.784","140.809.624","127.139.840","117.363.088","20.994","0","166","25"
"16:51:01.755, 31.03.2016","4,4","0,0","441.974.784","143.870.352","127.139.840","117.363.088","20.994","0","166","25"
"16:51:02.771, 31.03.2016","7,4","0,0","441.974.784","148.823.912","127.139.840","117.363.088","20.994","0","166","25"
"16:51:03.786, 31.03.2016","2,7","0,0","441.974.784","152.497.024","127.139.840","117.363.088","20.994","0","166","25"
"16:51:04.802, 31.03.2016","6,6","0,0","441.974.784","157.671.664","127.139.840","117.363.088","20.995","0","166","25"
"16:51:05.818, 31.03.2016","11,0","0,0","441.974.784","161.879.752","127.139.840","117.363.088","20.995","0","166","25"
"16:51:06.833, 31.03.2016","1,9","0,0","441.974.784","165.389.432","127.139.840","117.363.088","20.995","0","166","25"
"16:51:07.849, 31.03.2016","1,5","0,0","441.974.784","168.089.792","127.139.840","117.363.088","20.995","0","166","25"
"16:51:08.864, 31.03.2016","23,4","0,2","437.780.480","107.023.224","127.139.840","117.410.824","20.995","0","166","25"
